index, x, y, layer, weight, rho, delta, nh, isSeed, clusterId
0, -51.860, -64.090, 0, 1.000, 3.000, 1.84e+19, -1, 0, -1
1, 171.870, -154.070, 0, 1.000, 0.000,     0, 0, 0, 0
2, -108.290, 15.320, 0, 1.000, 0.000,     0, 0, 0, 0
3, 175.750, -161.110, 0, 1.000, 0.000,     0, 0, 0, 0
4, -111.260, 129.910, 0, 1.000, 0.000,     0, 0, 0, 0
5, 165.020, -115.510, 0, 1.000, 0.000,     0, 0, 0, 0
6, -53.660, 61.400, 0, 1.000, 0.000,     0, 0, 0, 0
7, -139.170, 188.110, 0, 1.000, 0.000,     0, 0, 0, 0
8, -110.050, 32.220, 0, 1.000, 0.000,     0, 0, 0, 0
9, 175.940, -159.840, 0, 1.000, 0.000,     0, 0, 0, 0
10, -103.800, 13.960, 0, 1.000, 0.000,     0, 0, 0, 0
11, 181.010, -188.690, 0, 1.000, 0.000,     0, 0, 0, 0
12, -101.710, 22.500, 0, 1.000, 0.000,     0, 0, 0, 0
13, -116.160, 127.680, 0, 1.000, 0.000,     0, 0, 0, 0
14, -79.170, 88.970, 0, 1.000, 0.000,     0, 0, 0, 0
15, -16.930, 21.150, 0, 1.000, 0.000,     0, 0, 0, 0
16, -65.610, -69.200, 0, 1.000, 0.000,     0, 0, 0, 0
17, 76.040, -9.570, 0, 1.000, 0.000,     0, 0, 0, 0
18, -100.320, 12.870, 0, 1.000, 0.000,     0, 0, 0, 0
19, 168.810, -122.360, 0, 1.000, 0.000,     0, 0, 0, 0
20, -37.490, 61.720, 0, 1.000, 0.000,     0, 0, 0, 0
21, -78.550, 91.430, 0, 1.000, 0.000,     0, 0, 0, 0
22, -111.720, 159.340, 0, 1.000, 0.000,     0, 0, 0, 0
23, 106.520, -85.720, 0, 1.000, 0.000,     0, 0, 0, 0
24, -92.020, 106.330, 0, 1.000, 0.000,     0, 0, 0, 0
25, -110.990, 0.480, 0, 1.000, 0.000,     0, 0, 0, 0
26, 167.880, -132.260, 0, 1.000, 0.000,     0, 0, 0, 0
27, -63.530, -55.650, 0, 1.000, 0.000,     0, 0, 0, 0
28, -97.340, 132.280, 0, 1.000, 0.000,     0, 0, 0, 0
29, 219.790, -213.650, 0, 1.000, 0.000,     0, 0, 0, 0
30, -28.960, -3.640, 0, 1.000, 0.000,     0, 0, 0, 0
31, 84.570, -47.620, 0, 1.000, 0.000,     0, 0, 0, 0
32, -103.570, 36.510, 0, 1.000, 0.000,     0, 0, 0, 0
33, -24.900, 18.550, 0, 1.000, 0.000,     0, 0, 0, 0
34, 175.830, -140.580, 0, 1.000, 0.000,     0, 0, 0, 0
35, 154.070, -122.770, 0, 1.000, 0.000,     0, 0, 0, 0
36, -140.310, 48.160, 0, 1.000, 0.000,     0, 0, 0, 0
37, 190.810, -166.440, 0, 1.000, 0.000,     0, 0, 0, 0
38, -4.190, 16.840, 0, 1.000, 0.000,     0, 0, 0, 0
39, -94.040, -13.050, 0, 1.000, 0.000,     0, 0, 0, 0
40, 95.240, -58.560, 0, 1.000, 0.000,     0, 0, 0, 0
41, -53.800, 51.740, 0, 1.000, 0.000,     0, 0, 0, 0
42, 187.090, -158.930, 0, 1.000, 0.000,     0, 0, 0, 0
43, 127.220, -77.220, 0, 1.000, 0.000,     0, 0, 0, 0
44, 186.610, -172.350, 0, 1.000, 0.000,     0, 0, 0, 0
45, -101.160, 131.100, 0, 1.000, 0.000,     0, 0, 0, 0
46, -72.950, 83.150, 0, 1.000, 0.000,     0, 0, 0, 0
47, -97.060, -5.180, 0, 1.000, 0.000,     0, 0, 0, 0
48, -161.150, 104.190, 0, 1.000, 0.000,     0, 0, 0, 0
49, -10.020, 9.480, 0, 1.000, 0.000,     0, 0, 0, 0
50, -126.790, 62.310, 0, 1.000, 0.000,     0, 0, 0, 0
51, -43.890, -59.220, 0, 1.000, 0.000,     0, 0, 0, 0
52, -98.460, -5.840, 0, 1.000, 0.000,     0, 0, 0, 0
53, -73.140, -15.790, 0, 1.000, 0.000,     0, 0, 0, 0
54, 160.670, -86.580, 0, 1.000, 0.000,     0, 0, 0, 0
55, -55.900, -57.920, 0, 1.000, 0.000,     0, 0, 0, 0
56, -96.790, 15.950, 0, 1.000, 0.000,     0, 0, 0, 0
57, 25.750, 34.990, 0, 1.000, 0.000,     0, 0, 0, 0
58, -160.730, 101.170, 0, 1.000, 0.000,     0, 0, 0, 0
59, -82.120, 112.960, 0, 1.000, 0.000,     0, 0, 0, 0
60, 183.960, -153.180, 0, 1.000, 0.000,     0, 0, 0, 0
61, -44.710, 71.940, 0, 1.000, 0.000,     0, 0, 0, 0
62, -59.660, 92.900, 0, 1.000, 0.000,     0, 0, 0, 0
63, -60.870, 94.890, 0, 1.000, 0.000,     0, 0, 0, 0
64, -97.490, 2.790, 0, 1.000, 0.000,     0, 0, 0, 0
65, -18.160, 29.480, 0, 1.000, 0.000,     0, 0, 0, 0
66, -43.310, -56.360, 0, 1.000, 0.000,     0, 0, 0, 0
67, -49.270, 74.550, 0, 1.000, 0.000,     0, 0, 0, 0
68, 166.780, -105.160, 0, 1.000, 0.000,     0, 0, 0, 0
69, -76.400, 114.460, 0, 1.000, 0.000,     0, 0, 0, 0
70, -85.100, 126.030, 0, 1.000, 0.000,     0, 0, 0, 0
71, 131.020, -77.860, 0, 1.000, 0.000,     0, 0, 0, 0
72, -74.890, -41.020, 0, 1.000, 0.000,     0, 0, 0, 0
73, -72.810, 116.090, 0, 1.000, 0.000,     0, 0, 0, 0
74, -1.310, 17.280, 0, 1.000, 0.000,     0, 0, 0, 0
75, -108.140, 40.380, 0, 1.000, 0.000,     0, 0, 0, 0
76, 167.100, -125.660, 0, 1.000, 0.000,     0, 0, 0, 0
77, -139.620, 40.720, 0, 1.000, 0.000,     0, 0, 0, 0
78, -87.890, 103.520, 0, 1.000, 0.000,     0, 0, 0, 0
79, -93.730, 125.530, 0, 1.000, 0.000,     0, 0, 0, 0
80, 116.970, -82.760, 0, 1.000, 0.000,     0, 0, 0, 0
81, -103.690, 36.700, 0, 1.000, 0.000,     0, 0, 0, 0
82, -34.760, 51.540, 0, 1.000, 0.000,     0, 0, 0, 0
83, -157.480, 102.050, 0, 1.000, 0.000,     0, 0, 0, 0
84, -76.090, 130.530, 0, 1.000, 0.000,     0, 0, 0, 0
85, -124.540, 47.150, 0, 1.000, 0.000,     0, 0, 0, 0
86, -122.470, 148.290, 0, 1.000, 0.000,     0, 0, 0, 0
87, -16.910, 25.950, 0, 1.000, 0.000,     0, 0, 0, 0
88, 14.110, -3.900, 0, 1.000, 0.000,     0, 0, 0, 0
89, -77.910, 132.600, 0, 1.000, 0.000,     0, 0, 0, 0
90, -104.540, 26.510, 0, 1.000, 0.000,     0, 0, 0, 0
91, -128.340, 51.190, 0, 1.000, 0.000,     0, 0, 0, 0
92, -87.810, -35.030, 0, 1.000, 0.000,     0, 0, 0, 0
93, -97.020, 24.480, 0, 1.000, 0.000,     0, 0, 0, 0
94, -61.970, 62.990, 0, 1.000, 0.000,     0, 0, 0, 0
95, -124.680, 45.170, 0, 1.000, 0.000,     0, 0, 0, 0
96, -74.240, -36.150, 0, 1.000, 0.000,     0, 0, 0, 0
97, -46.190, -55.460, 0, 1.000, 0.000,     0, 0, 0, 0
98, -36.850, -79.690, 0, 1.000, 0.000,     0, 0, 0, 0
99, 169.160, -143.030, 0, 1.000, 0.000,     0, 0, 0, 0
100, 228.740, -219.730, 0, 1.000, 0.000,     0, 0, 0, 0
101, 185.290, -149.620, 0, 1.000, 0.000,     0, 0, 0, 0
102, -68.050, 122.340, 0, 1.000, 0.000,     0, 0, 0, 0
103, -59.420, 71.080, 0, 1.000, 0.000,     0, 0, 0, 0
104, -98.720, 16.770, 0, 1.000, 0.000,     0, 0, 0, 0
105, 150.800, -101.800, 0, 1.000, 0.000,     0, 0, 0, 0
106, -47.720, 14.190, 0, 1.000, 0.000,     0, 0, 0, 0
107, 144.470, -145.540, 0, 1.000, 0.000,     0, 0, 0, 0
108, 120.150, -73.050, 0, 1.000, 0.000,     0, 0, 0, 0
109, -49.200, -35.190, 0, 1.000, 0.000,     0, 0, 0, 0
110, 150.670, -123.450, 0, 1.000, 0.000,     0, 0, 0, 0
111, -97.930, -13.040, 0, 1.000, 0.000,     0, 0, 0, 0
112, -141.250, 43.200, 0, 1.000, 0.000,     0, 0, 0, 0
113, 183.990, -177.340, 0, 1.000, 0.000,     0, 0, 0, 0
114, -111.710, 5.110, 0, 1.000, 0.000,     0, 0, 0, 0
115, 179.220, -158.960, 0, 1.000, 0.000,     0, 0, 0, 0
116, -12.240, 10.120, 0, 1.000, 0.000,     0, 0, 0, 0
117, -130.710, 24.610, 0, 1.000, 0.000,     0, 0, 0, 0
118, -76.860, -7.560, 0, 1.000, 0.000,     0, 0, 0, 0
119, 183.850, -174.740, 0, 1.000, 0.000,     0, 0, 0, 0
120, 160.240, -155.400, 0, 1.000, 0.000,     0, 0, 0, 0
121, -58.710, -40.540, 0, 1.000, 0.000,     0, 0, 0, 0
122, -14.380, 20.900, 0, 1.000, 0.000,     0, 0, 0, 0
123, -44.380, 63.830, 0, 1.000, 0.000,     0, 0, 0, 0
124, -66.110, 73.250, 0, 1.000, 0.000,     0, 0, 0, 0
125, 150.050, -106.240, 0, 1.000, 0.000,     0, 0, 0, 0
126, -86.700, 127.130, 0, 1.000, 0.000,     0, 0, 0, 0
127, 105.500, -22.270, 0, 1.000, 0.000,     0, 0, 0, 0
128, -101.800, 11.900, 0, 1.000, 0.000,     0, 0, 0, 0
129, -0.830, 1.320, 0, 1.000, 0.000,     0, 0, 0, 0
130, -30.170, -79.350, 0, 1.000, 0.000,     0, 0, 0, 0
131, -29.770, -94.970, 0, 1.000, 0.000,     0, 0, 0, 0
132, -107.180, -15.560, 0, 1.000, 0.000,     0, 0, 0, 0
133, -85.730, -17.010, 0, 1.000, 0.000,     0, 0, 0, 0
134, -130.410, 147.720, 0, 1.000, 0.000,     0, 0, 0, 0
135, -99.070, 8.360, 0, 1.000, 0.000,     0, 0, 0, 0
136, 86.950, -63.580, 0, 1.000, 0.000,     0, 0, 0, 0
137, -12.830, 34.260, 0, 1.000, 0.000,     0, 0, 0, 0
138, -92.920, -21.730, 0, 1.000, 0.000,     0, 0, 0, 0
139, -119.210, 186.610, 0, 1.000, 0.000,     0, 0, 0, 0
140, -94.480, 132.100, 0, 1.000, 0.000,     0, 0, 0, 0
141, -36.140, 47.110, 0, 1.000, 0.000,     0, 0, 0, 0
142, 182.350, -177.360, 0, 1.000, 0.000,     0, 0, 0, 0
143, -109.710, 139.460, 0, 1.000, 0.000,     0, 0, 0, 0
144, -107.600, 133.150, 0, 1.000, 0.000,     0, 0, 0, 0
145, 158.450, -110.850, 0, 1.000, 0.000,     0, 0, 0, 0
146, 90.990, -62.620, 0, 1.000, 0.000,     0, 0, 0, 0
147, -105.490, 158.090, 0, 1.000, 0.000,     0, 0, 0, 0
148, -155.520, 61.000, 0, 1.000, 0.000,     0, 0, 0, 0
149, -77.930, 1.490, 0, 1.000, 0.000,     0, 0, 0, 0
150, -99.930, 6.740, 0, 1.000, 0.000,     0, 0, 0, 0
151, 169.570, -139.320, 0, 1.000, 0.000,     0, 0, 0, 0
152, -106.760, 21.350, 0, 1.000, 0.000,     0, 0, 0, 0
153, -55.620, -71.690, 0, 1.000, 0.000,     0, 0, 0, 0
154, 82.450, -27.430, 0, 1.000, 0.000,     0, 0, 0, 0
155, -42.530, 82.430, 0, 1.000, 0.000,     0, 0, 0, 0
156, -40.950, -84.870, 0, 1.000, 0.000,     0, 0, 0, 0
157, -34.290, 76.040, 0, 1.000, 0.000,     0, 0, 0, 0
158, -43.750, 53.260, 0, 1.000, 0.000,     0, 0, 0, 0
159, 150.870, -113.220, 0, 1.000, 0.000,     0, 0, 0, 0
160, -72.530, 103.680, 0, 1.000, 0.000,     0, 0, 0, 0
161, 23.730, -35.670, 0, 1.000, 0.000,     0, 0, 0, 0
162, -52.430, -32.810, 0, 1.000, 0.000,     0, 0, 0, 0
163, -87.680, -15.570, 0, 1.000, 0.000,     0, 0, 0, 0
164, 103.520, -61.730, 0, 1.000, 0.000,     0, 0, 0, 0
165, 161.090, -154.050, 0, 1.000, 0.000,     0, 0, 0, 0
166, -7.480, -2.540, 0, 1.000, 0.000,     0, 0, 0, 0
167, -2.310, -137.180, 0, 1.000, 0.000,     0, 0, 0, 0
168, -70.730, 115.210, 0, 1.000, 0.000,     0, 0, 0, 0
169, 191.450, -166.440, 0, 1.000, 0.000,     0, 0, 0, 0
170, 200.980, -155.110, 0, 1.000, 0.000,     0, 0, 0, 0
171, 71.530, -5.940, 0, 1.000, 0.000,     0, 0, 0, 0
172, 132.760, -104.130, 0, 1.000, 0.000,     0, 0, 0, 0
173, 194.810, -189.400, 0, 1.000, 0.000,     0, 0, 0, 0
174, -101.160, 137.530, 0, 1.000, 0.000,     0, 0, 0, 0
175, -35.850, -102.920, 0, 1.000, 0.000,     0, 0, 0, 0
176, 123.740, -74.820, 0, 1.000, 0.000,     0, 0, 0, 0
177, 43.310, 53.830, 0, 1.000, 0.000,     0, 0, 0, 0
178, -104.280, 115.560, 0, 1.000, 0.000,     0, 0, 0, 0
179, 135.970, -88.580, 0, 1.000, 0.000,     0, 0, 0, 0
